#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xbacklight,"enables changing screen brightness levels."
,xorg-xrandr,"display management."
,xorg-xev,"window manager information."
,arandr,"is a UI for screen adjustment."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,ffmpeg,"can record and splice video and audio on the command line."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulseaudio-bluetooth,"bluetooth extension for pulseaudio."
,pulsemixer,"is an audio controler."
,pamixer,"is a command-line audio interface."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
G,https://github.com/rainbowhxch/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/rainbowhxch/st.git,"is my custom build of suckless's terminal emulator."
,adobe-source-code-pro-fonts,"source code pro font."
,adobe-source-han-mono-cn-fonts,"chinese mono font."
,adobe-source-han-sans-cn-fonts,"chinese sans font."
,adobe-source-han-serif-cn-fonts,"chinese serif font."
,arc-gtk-theme,"arc gtk theme."
,papirus-icon-theme,"papirus icon."
,asciidoc,"a tool for doc to ascii."
,blueman,"GUI bluetooth management."
,clipmenu,"clipboard menu based on dmenu."
,ctags,"ctags for vim."
,dbeaver,"databases management."
,dhclient,"dhcp client."
,feh,"background settings."
,ffmpegthumbnailer,"for ranger video preview."
,figlet,"cute font generetor."
,flameshot,"screenshot tool."
,gdb,"elf file debug tool."
,gimp,"pictures manipulation."
,gnome-screenshot,"screenshot tool."
,google-chrome,"chrome browser."
,htop,"process tool."
,i3-gaps,"i3 wm gaps patched."
,i3blocks,"i3 blocks."
,i3lock,"i3lock for screen lock."
,i3status,"i3status."
,ibus,"input method structure."
,ibus-rime,"rime for ibus."
,imagemagick,"pictures tools."
,intel-ucode,"Microcode update files for Intel CPUs."
,lightdm,"display manager."
,lightdm-gtk-greeter,"greeter for display manager."
,lightdm-gtk-greeter-settings,"greeter settings for display manager."
,lldb,"llvm db."
,llvm,"llvm."
,lxappearance,"gtk settings."
,mendeleydesktop-bundled,"mendeley for paper reader."
,neofetch,"detail message for system."
,netease-cloud-music,"netease cloud music client."
,network-manager-applet,"networkmanager applet."
,networkmanager,"networkmanager."
,nodejs,"nodejs."
,npm,"npm."
,nutstore,"nutstore."
,os-prober,"for dual boot."
,pavucontrol,"sound device management."
,polybar,"a bultiful status bar."
,qtcreator,"qt development tool."
,qv2ray,"v2ray GUI."
,ranger,"ranger-terminal file manager."
,telegram-desktop,"telegram."
,ttf-wps-fonts,"fonts for wps."
,ueberzug,"pictures preview for ranger."
,v2ray,"core for qv2ray."
,wps-office-cn,"wps."
,wqy-microhei,"wqy's chinese fonts."
,xfce4-power-manager,"power manager."
,xsettingsd,"for deepin wine wechat and tim."
